127.0.0.1 - - [29/Jul/2024:00:02:02 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:02:06 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:02:07 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:04:35 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:06:02 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:07:18 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:08:28 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:08:56 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:09:18 +0530] "GET /A1_Simple_Spring/ HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:09:24 +0530] "GET /A1_Simple_Spring/ HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:09:59 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:10:04 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:17:05 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:17:40 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:18:43 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [29/Jul/2024:00:21:11 +0530] "GET /A2_Spring_bean/ HTTP/1.1" 404 771
